
# Efinity Pinout Report
# Version: 2023.2.307.1.14
# Date: 2024-02-08 11:48

# Copyright (C) 2013 - 2023 Efinix Inc. All rights reserved.

# Device: Ti180J484
# Package status: final
# Project: soc
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
V8,DDR_DQ[27],,,DDR,,,,
V9,DDR_DQ[21],,,DDR,,,,
V10,VDDQX_PHY,,Power,DDR,,,,
V11,VDDQX_PHY,,Power,DDR,,,,
V12,VDDQX_PHY,,Power,DDR,,,,
V13,VDDQX_PHY,,Power,DDR,,,,
V14,DDR_DQ[8],,,DDR,,,,
V15,DDR_DQ[5],,,DDR,,,,
V16,VDDQ_PHY,,Power,DDR,,,,
V17,GND,,Power,,,,,Ground
V18,VDDQ_PHY,,Power,DDR,,,,
V19,GND,,Power,,,,,Ground
V20,VDDQ_PHY,,Power,DDR,,,,
V21,GND,,Power,,,,,Ground
V22,MIPI3_RXDP0,,,TL,3.3 V,,,
W1,GND,,Power,,,,,Ground
W2,VDDQ_PHY,,Power,DDR,,,,
W3,DDR_DQ[30],,,DDR,,,,
W4,DDR_DQ[31],,,DDR,,,,
W5,DDR_DQ[28],,,DDR,,,,
W6,DDR_DQ[29],,,DDR,,,,
W7,DDR_DQ[23],,,DDR,,,,
W8,VDDQ_PHY,,Power,DDR,,,,
W9,GND,,Power,,,,,Ground
W10,VDDQX_PHY,,Power,DDR,,,,
W11,GND,,Power,,,,,Ground
W12,VDDQX_PHY,,Power,DDR,,,,
W13,GND,,Power,,,,,Ground
W14,DDR_DQ[13],,,DDR,,,,
W15,GND,,Power,,,,,Ground
W16,DDR_DQ[10],,,DDR,,,,
W17,DDR_DQ[4],,,DDR,,,,
W18,DDR_DQ[3],,,DDR,,,,
W19,DDR_DQ[2],,,DDR,,,,
W20,DDR_DQ[0],,,DDR,,,,
W21,DDR_DQ[1],,,DDR,,,,
W22,VDDQ_PHY,,Power,DDR,,,,
Y1,DDR_DM[3],,,DDR,,,,
Y2,DDR_DQS_N[3],,,DDR,,,,
Y3,DDR_DQS[3],,,DDR,,,,
Y4,DDR_DQ[24],,,DDR,,,,
Y5,DDR_DQS_N[2],,,DDR,,,,
Y6,DDR_DQ[22],,,DDR,,,,
Y7,DDR_DQ[17],,,DDR,,,,
Y8,DDR_A[3],,,DDR,,,,
Y9,DDR_A[5],,,DDR,,,,
Y10,DDR_A[0],,,DDR,,,,
Y11,NC,,,,,,,
Y12,NC,,,,,,,
Y13,DDR_CS_N[0],,,DDR,,,,
Y14,DDR_CS_N[2],,,DDR,,,,
Y15,DDR_CS_N[1],,,DDR,,,,
Y16,DDR_CS_N[3],,,DDR,,,,
Y17,DDR_DQ[9],,,DDR,,,,
Y18,DDR_DQ[11],,,DDR,,,,
Y19,DDR_DQ[7],,,DDR,,,,
Y20,DDR_DM[0],,,DDR,,,,
Y21,DDR_DQS_N[0],,,DDR,,,,
Y22,DDR_DQS[0],,,DDR,,,,
